day_offset,segment,agg_yes,agg_no,odds
-218,all_users,205.0,410.0,0.3333333333333333
-216,all_users,686.986664,1113.986664,0.3814529917347005
-215,all_users,676.333336,770.3199999999999,0.4675158306205296
-213,all_users,250.666668,327.653332,0.43343938995711717
-209,all_users,650.000004,461.653332,0.5847146614419012
-205,all_users,10363.000004,9564.999996,0.5200220796868728
-204,all_users,5128.0000039999995,80.0,0.9846390169088794
-203,all_users,5118.0000039999995,8245.653332,0.3829791057369583
-200,all_users,9503.653336,9613.653328,0.4971230259070138
-199,all_users,27167.0,26926.999991999997,0.5022183607057668
-198,all_users,5126.027022,16761.68035,0.23419661707271847
-197,all_users,5462.653336,10270.013507,0.3472172512462832
-193,all_users,4764.0,16155.680349999999,0.2277281449952939
-184,all_users,8636.0,14600.013507,0.37166444224171025
-176,all_users,5351.653336,16133.680349999999,0.2490840223480996
-175,all_users,3461.666664,9820.680171,0.2606216135599052
-168,all_users,3488.333328,9850.013499,0.26152666243006817
-161,all_users,26349.42105,38058.101396,0.40910471400435644
-160,all_users,3459.12194,19437.845967999998,0.15107336280937936
-158,all_users,3459.024388,19437.870356000003,0.15106958505394782
-157,all_users,3549.0,26658.17456,0.11748864472414265
-155,all_users,3309.07335,27218.321074,0.10839684854985449
-150,all_users,4874.239972,38756.487696000004,0.11171576163225222
-149,all_users,351.4829840000001,18709.290137000004,0.018440122117227106
-146,all_users,22316.647211,40786.192169999995,0.35365519887714353
-145,all_users,11122.837416,21716.116765,0.3387086371476307
-144,all_users,9437.27816,16038.137507,0.37044648391055435
-143,all_users,9436.097444,16038.161601,0.3704169541234247
-141,all_users,1427.4143910000003,13660.468168,0.09460667429098858
-136,all_users,10826.286320000001,21266.331235,0.3373450701378914
-135,all_users,9982.242252,16535.350137,0.37643848301027594
-134,all_users,10697.899132,16535.344355,0.3928250095184852
-133,all_users,10362.959372,16200.416159,0.3901220821844052
-131,all_users,10474.719282,21805.416159,0.32449427918743284
-128,all_users,10400.736206000001,20532.413303,0.3362326944100505
-126,all_users,14368.593350000001,16500.276159,0.4654719650750654
-121,all_users,21163.32335,33351.740041,0.3882105611472864
-120,all_users,8025.874932,2038.7704830000007,0.7974324579819287
-117,all_users,8029.399635,2059.2619560000007,0.7958835334672095
-116,all_users,20162.485198000002,25893.504031,0.4377820460602402
-114,all_users,10340.399635,7806.996024,0.5698007487852281
-112,all_users,9645.090015,7520.332088000001,0.5618906402141038
-110,all_users,8413.770015,7512.332088000001,0.528300645103556
-108,all_users,9472.590015,2897.438020000001,0.7657694863906587
-106,all_users,9001.770015,7862.332088,0.5337829408301941
-105,all_users,9004.239149,276.74715400000065,0.9701812776180324
-104,all_users,8522.552861,4133.79,0.6733819520062068
-103,all_users,8522.55868,4331.324952999999,0.6630337509917926
-102,all_users,8561.356308999999,4136.379267,0.6742427622435158
-101,all_users,12265.887081000003,7400.518573000001,0.6236974512170307
-100,all_users,8253.989105000002,973.5531980000007,0.8944948539890751
-99,all_users,13093.107099,2945.3710280000005,0.8163559531847594
-98,all_users,9799.238004000003,6864.473009000001,0.5880585660874242
-97,all_users,9982.447538000002,6961.107171,0.5891589875587069
-96,all_users,33217.25348100001,48134.645938999995,0.4083156474258509
-95,all_users,9746.653872,7336.254094000001,0.5705500428497713
-94,all_users,9939.109084,7403.019141000001,0.5731193400860695
-93,all_users,28102.494462,25713.537751999997,0.5221955856992605
-92,all_users,9739.41604,14524.652783,0.40139253276301173
-90,all_users,9195.270015,14428.043649,0.3892455624890948
-89,all_users,9192.143883,14432.439249,0.38909232097937196
-88,all_users,9249.286683,14489.582049,0.3896262617827259
-87,all_users,34896.288594000005,55963.34944199999,0.38406810051536366
-86,all_users,12000.899598,16499.028135,0.4210852641603082
-85,all_users,11891.939024000001,16278.956451,0.422135641181637
-83,all_users,11902.691711,16289.709138,0.42219503669628744
-82,all_users,9174.492235000002,16289.709138,0.3602898084495917
-80,all_users,10490.921125,24312.825802,0.30143079556935204
-79,all_users,10747.312960000001,16288.913919,0.3975152675001341
-76,all_users,10750.870784,16561.15413,0.39363140660029056
-74,all_users,11971.015935000001,15937.827999,0.42893270546460327
-72,all_users,50009.862866,84339.044118,0.37223870285714955
-71,all_users,66928.08369,45669.210516,0.594402238188363
-70,all_users,34162.025305999996,57121.01394900001,0.3742428558997479
-69,all_users,81775.89994199999,98118.47158,0.45457731250918704
-68,all_users,34938.251014,42840.560589,0.4492001136804769
-67,all_users,32667.228160000002,31955.326540000002,0.5055081513204244
-64,all_users,29809.753979,33162.254516,0.4733810258150954
-62,all_users,29728.507311,47016.027733,0.3873696973205419
-61,all_users,30024.607311,34417.830335,0.46591358750166173
-60,all_users,30494.273975,30332.9307,0.5013262427220029
-59,all_users,31592.273975000004,31163.264036,0.5034181042231269
-56,all_users,34119.027383,31736.944036,0.5180855531827501
-55,all_users,35302.918067,36052.178656000004,0.49474977525495745
-51,all_users,30649.340643000003,48738.186577,0.3860724942101302
-49,all_users,29685.439543000004,36243.42728,0.45026467120535907
-48,all_users,45065.400049,80147.46455900001,0.3599103030673792
-47,all_users,28648.438662000004,34984.903205,0.4502111286545044
-46,all_users,30539.340643000003,33468.48409599999,0.47711886425648786
-45,all_users,26543.937345000002,33364.635089999996,0.443074108864801
-44,all_users,77555.38114799999,76856.174163,0.5022641018788773
-43,all_users,30170.067302,27421.451082,0.5238630296363537
-42,all_users,49523.08297000001,71911.865375,0.4078157371080982
-41,all_users,31633.340737000002,34477.691978,0.47848807434863555
-36,all_users,89116.39597499999,63193.207581,0.5851003081511822
-35,all_users,30364.100643,58050.669916,0.34342791878578427
-33,all_users,29953.357481,56015.936274,0.3484192573032264
-32,all_users,36239.963527,55229.585278,0.3961970295082402
-31,all_users,34926.87021,52831.670636,0.3979882741132877
-30,all_users,34925.999552,52830.818216,0.3979861672324171
-29,all_users,34931.078781000004,52835.932604999995,0.3979978152312017
-28,all_users,35052.553407,44027.617554,0.4432533842685657
-27,all_users,29743.100643,52768.436009,0.360472024275154
-26,all_users,34911.366599,52898.436009,0.3975793768134421
-24,all_users,34666.861103,44058.112058,0.44035405426055846
-23,all_users,34356.535393,57018.753770999996,0.37599372551737736
-21,all_users,33062.711825,50741.519168000006,0.3945231813864107
