day_offset,segment,agg_yes,agg_no,odds
-103,small,800.0,1600.0,0.3333333333333333
-100,small,5.02,10.04,0.3333333333333333
-99,small,1000.0,0.0,1.0
-96,small,600.0,0.0,1.0
-95,small,790.02,190.0,0.8061264055835595
-94,small,301.02,142.0,0.6794727100356643
-93,small,827.02,317.0,0.7229069421863255
-92,small,327.0,190.0,0.632495164410058
-91,small,2554.2599999999998,2500.8375,0.5052840227117281
-89,small,2053.4474999999998,1750.4099999999999,0.5398329196085816
-88,small,428.785666,865.081332,0.3313985646614352
-87,small,973.7468,756.7536,0.5626966627687575
-86,small,2006.2411339999999,3545.1156659999997,0.36139653895062196
-85,small,2123.861132,750.6073319999999,0.7388709107785849
-84,small,1611.2867999999999,0.017331999999953496,0.9999892434955912
-83,small,2426.018465,920.904666,0.7248503685458559
-82,small,2063.878465,300.824666,0.8727854409898863
-81,small,1940.7784649999999,180.61,0.9148623635039893
-80,small,1249.3367999999998,20.34,0.9839801751122806
-79,small,1782.4768,42.13999999999999,0.9769047396691732
-78,small,2095.373131,172.2193320000001,0.924051903148348
-77,small,1553.974331,150.41,0.9117511248699692
-76,small,1499.982,3989.9356689999995,0.2732248624546723
-74,small,-0.0,1972.4256690000002,-0.0
-73,small,5739.092000000001,10731.185669,0.3484514417630004
-72,small,11746.274,8895.384,0.5690567104638591
-71,small,6316.073,14437.562,0.30433574648489287
-70,small,6826.576330000001,3588.938665,0.6554237916490081
-69,small,6771.46,1695.330665,0.7997670271915244
-68,small,7840.613,1701.9036649999998,0.8216504382704163
-67,small,7543.5,11481.9,0.3964962628906619
-64,small,7944.24,3170.5200000000004,0.714746877125552
-62,small,7957.24,0.0,1.0
-61,small,7964.24,0.0,1.0
-60,small,11307.573333,0.0,1.0
-59,small,4770.906667,1435.946665,0.7686514263843088
-58,small,568.78,200.0,0.7398475506646895
-56,small,370.24,1637.406665,0.1844149204411923
-55,small,5710.200000000001,2605.256665,0.6866971027621849
-54,small,13673.959486,5457.434741,0.7147393087902626
-53,small,3513.333332,17769.334741,0.1650795529935059
-52,small,1455.607,11301.554,0.1141011703152449
-51,small,3564.780332,0.0,1.0
-50,small,3564.960332,0.0,1.0
-49,small,3571.7473320000004,14.014,0.9960917644253295
-48,small,3620.8473320000007,2025.3680760000002,0.6412874944285158
-47,small,7970.072332,11710.118076,0.404979431944935
-46,small,3202.01,10360.0,0.23610143334210787
-45,small,10456.453332,23374.525741,0.30907924093586575
-44,small,17329.206666,13052.605741,0.5703809382355127
-43,small,8325.506663999999,16358.171000000004,0.3372879348583604
-42,small,0.0,7852.040000000001,0.0
-41,small,6932.651468,27778.882999999998,0.1997218381224575
-40,small,13621.992968999999,5551.791076,0.7104488575145
-39,small,13056.110636000001,11270.261999999999,0.5367060198970472
-38,small,12901.993967999999,11650.46,0.5254869425604293
-37,small,12882.653972,10.057000000000002,0.9992199468349332
-36,small,12895.903972,11676.759999999998,0.5248069149805896
-35,small,13789.473972,0.0,1.0
-34,small,13789.503972,0.06,0.9999956488834512
-33,small,18234.805472,18847.791076,0.4917348613492242
-32,small,15316.48,7269.638076,0.6781368957897765
-31,small,16320.8,8033.918076000001,0.6701288821767595
-30,small,18751.265637999997,8084.848076000001,0.6987325302701242
-29,small,19585.852306,959.08,0.9533179284450644
-28,small,17071.986,828.002,0.9537428740175692
-27,small,18059.546499999997,9164.044076,0.6633785668199509
-26,small,18865.324166000002,1676.2399999999998,0.9183976455515261
-25,small,58560.29416599999,22600.598076000002,0.7215333955593898
-24,small,22872.797999999995,605.3839999999998,0.974215039307558
-23,small,21740.15,380.124,0.9828155835682687
-22,small,35023.109999999986,1329.2799999999997,0.9634334908928959
-21,small,37298.82333299999,22845.448076,0.6201558761823922
-20,small,19863.998167,16405.510000000002,0.5476776270452258
-19,small,21006.902000000002,16409.804000000004,0.5614310890969397
-18,small,42458.369999999995,15637.750000000002,0.730829700847492
-17,small,13227.703,145.026,0.989155093175073
-16,small,11937.72,188.0,0.9844957660246154
-15,small,10176.940999999999,820.442,0.9253966148128151
-14,small,112069.44199999998,5939.652,0.9496678450899725
-13,small,21319.623334,6810.777,0.757885528853704
-12,small,50963.29683399999,8277.658664999999,0.8602713512083761
-11,small,112.01400000000041,3655.904,0.029728353960993947
-10,small,2472.5050000000006,21302.051999999996,0.10399794200161125
-9,small,14935.041333,3479.3540000000003,0.8110524979462815
-8,small,15450.699666999999,21724.234,0.4156214454987853
-7,small,9315.477833,8471.768,0.5237167080536633
-6,small,10511.649666999998,14931.5,0.41314262599467805
-5,small,3731.75,6772.42,0.3552636714752332
-4,small,37571.2635,2472.946,0.9382446043790676
-3,small,21723.171,20981.842,0.508679648452513
-2,small,48119.3645,29913.052,0.6166586485246167
-1,small,41203.1,30835.016000000003,0.5719624871921969
0,small,65717.3195,22516.970665,0.744804762152075
