day_offset,segment,agg_yes,agg_no,odds
-214,small,2110.0,1055.0,0.6666666666666666
-213,small,2110.0,500.0,0.8084291187739464
-140,small,555.0,96.44,0.8519587375660076
-98,small,1067.92,500.0,0.6811061788866779
-95,small,480.91999999999996,0.0,1.0
-92,small,1274.5529999999999,1587.266,0.44536464395547026
-91,small,1544.5534,1834.0008,0.45716401412178026
-90,small,2306.1634,0.005999999999971806,0.9999973982830577
-88,small,756.9337499999999,1103.5674999999999,0.40684398895190205
-87,small,572.005,2.01,0.9964983493462715
-86,small,362.38,0.0,1.0
-85,small,2298.9387500000003,3034.0,0.4310829090245974
-84,small,2516.7336499999997,500.013,0.8342542288063866
-82,small,260.2365,500.0,0.34230992592436693
-79,small,2369.7528999999995,1756.586,0.5742991444546641
-78,small,2969.7528999999995,4114.0,0.41923440045459515
-77,small,1423.0794999999998,500.0,0.7400003483995331
-76,small,2457.9943999999996,1849.8029999999999,0.5705919224520632
-75,small,1278.0,1129.8890000000001,0.5307553628925585
-74,small,2916.6454000000003,1256.5639999999999,0.6988974480887541
-73,small,6403.2074,7283.933,0.46782653007636277
-72,small,5445.38865,7200.842000000001,0.43059381097086025
-71,small,2572.1065,8570.768000000002,0.23082971095115534
-70,small,1166.909,0.018000000000029104,0.9999845748705789
-69,small,3435.344,1660.01,0.6742110557971045
-68,small,3330.654,0.02,0.999993995209378
-67,small,3330.654,0.0,1.0
-66,small,5520.654,12399.96,0.30806165458393336
-65,small,6120.654,6665.96,0.4786766848518302
-64,small,8172.6489,0.0,1.0
-63,small,8615.654,2790.0,0.7553844786103454
-62,small,11930.094000000001,20448.84,0.3684523400307126
-61,small,16024.004,28236.66,0.3620371352765968
-60,small,16672.1529,11606.4355,0.5895680740556343
-59,small,26610.131999999998,0.0,1.0
-58,small,11328.132999999998,0.009999999999990905,0.999999117242782
-57,small,9928.14,2645.114,0.7896237521329006
-56,small,14790.751999999997,23105.204,0.39029895432641937
-55,small,22375.79975,14890.7875,0.6004252441978035
-54,small,460.690416,5885.137699000001,0.07259736753837366
-53,small,0.0,0.0020000000000000018,0.0
-52,small,12641.024666999998,13841.13,0.4773412445457945
-50,small,12.509333000000197,0.0,1.0
-47,small,11.857501000000205,4373.4039999999995,0.0027039438804952135
-46,small,11.397501000000206,4372.9395,0.0025995951035243433
-45,small,9.657501000000206,4371.201499999999,0.002204476564481014
-44,small,8.957501000000207,4371.277999999999,0.0020449815992668037
-43,small,0.0,4348.754499999999,0.0
-42,small,0.0,4226.724,0.0
-41,small,18516.680332999997,13117.559,0.5853366707535745
-40,small,13470.962499999998,708.556,0.9500296148984184
-39,small,13696.863,12288.357000000002,0.5271020603250617
-38,small,13601.205332999998,9466.055,0.5896324546847953
-37,small,13601.198666999999,707.595,0.9505482421182782
-36,small,16771.211999,723.4350000000001,0.9586482082181279
-35,small,12563.192001,1951.595,0.8655443583246833
-34,small,19563.388669,12814.475,0.6042211082546146
-33,small,12735.94,0.04,0.9999968592915504
-32,small,25690.268668999997,707.595,0.973194989985839
-31,small,10272.400668999999,707.6220000000001,0.9355536849666226
-30,small,10265.280668999998,733.355,0.933323093693613
-29,small,11250.360418999997,1262.6150000000002,0.8990955422095039
-28,small,9875.360418999999,707.595,0.9331382423921368
-27,small,14337.845751999997,18871.906301000003,0.431736007216133
-26,small,21565.204835999997,13891.114000000003,0.6082189449995614
-25,small,15569.177,140.14,0.9910791793175986
-24,small,33968.62233599999,15249.592301000002,0.6901636434098514
-23,small,17632.305335999998,2248.2523010000004,0.8869120101130491
-22,small,57436.596502,8532.168000000001,0.8706635168263409
-21,small,12175.243334,2936.12,0.8057011842608641
-20,small,13944.905334000001,5077.324000000001,0.7330847025945123
-19,small,10843.435334,5104.120000000001,0.6799434212265703
-18,small,13933.094334000001,8774.002,0.6136008818149756
-17,small,10688.143334,20.0,0.9981322625803395
-16,small,14033.255834,8106.932,0.6338363495023996
-15,small,200.0,7866.939,0.02479255142502007
-14,small,13605.901,7911.6990000000005,0.6323149886604454
-13,small,3203.471,0.0,1.0
-12,small,23482.42783,685.8406650000001,0.9716222672244026
-11,small,7405.1044,1748.9791649999997,0.8089400044711084
-10,small,5127.2879,1762.5135,0.7441851516939225
-9,small,16443.0019,828.2861100000001,0.9520425975456823
-8,small,5630.98365,1488.3908900000001,0.7909379705144716
-7,small,5649.335,5466.5599999999995,0.5082213353040849
-6,small,17835.36875,33317.560000000005,0.34866759706305184
-5,small,21152.125,32038.426249999997,0.39766696345340097
-4,small,25142.094999999998,32220.54,0.4383009078993669
-3,small,239390.375,0.0,1.0
-2,small,125724.87166599999,6763.6,0.9489495205511098
-1,small,280802.791,39605.948000000004,0.8763893016039115
0,small,29636.158,20624.007300999998,0.5896550045650236
