timestamp,outcome_label,price
1712192402,Democrat,0.125
1712196002,Democrat,0.11
1712199602,Democrat,0.115
1712203202,Democrat,0.12
1712206803,Democrat,0.12
1712210402,Democrat,0.12
1712214002,Democrat,0.12
1712217602,Democrat,0.12
1712221202,Democrat,0.12
1712224802,Democrat,0.12
1712228402,Democrat,0.12
1712232002,Democrat,0.12
1712235602,Democrat,0.12
1712239202,Democrat,0.12
1712242803,Democrat,0.12
1712246403,Democrat,0.12
1712250003,Democrat,0.12
1712253603,Democrat,0.12
1712257203,Democrat,0.12
1712260803,Democrat,0.12
1712264403,Democrat,0.12
1712268003,Democrat,0.12
1712271603,Democrat,0.12
1712275203,Democrat,0.12
1712278803,Democrat,0.115
1712282403,Democrat,0.115
1712286003,Democrat,0.12
1712289603,Democrat,0.12
1712293203,Democrat,0.12
1712296803,Democrat,0.12
1712300404,Democrat,0.12
1712304004,Democrat,0.12
1712307603,Democrat,0.12
1712311203,Democrat,0.12
1712314804,Democrat,0.12
1712318403,Democrat,0.12
1712322003,Democrat,0.12
1712325603,Democrat,0.12
1712329203,Democrat,0.12
1712332802,Democrat,0.12
1712336404,Democrat,0.115
1712340004,Democrat,0.115
1712343603,Democrat,0.12
1712347202,Democrat,0.12
1712350803,Democrat,0.12
1712354403,Democrat,0.12
1712358002,Democrat,0.12
1712361603,Democrat,0.12
1712365203,Democrat,0.12
1712368803,Democrat,0.12
1712372403,Democrat,0.12
1712376004,Democrat,0.12
1712379603,Democrat,0.12
1712383203,Democrat,0.12
1712386804,Democrat,0.12
1712390402,Democrat,0.12
1712394003,Democrat,0.12
1712397602,Democrat,0.12
1712401202,Democrat,0.12
1712404804,Democrat,0.115
1712408403,Democrat,0.115
1712412002,Democrat,0.115
1712415602,Democrat,0.115
1712419203,Democrat,0.115
1712422803,Democrat,0.115
1712426403,Democrat,0.115
1712430003,Democrat,0.115
1712433603,Democrat,0.115
1712437203,Democrat,0.12
1712440803,Democrat,0.12
1712444403,Democrat,0.12
1712448002,Democrat,0.12
1712451604,Democrat,0.115
1712455203,Democrat,0.12
1712458803,Democrat,0.12
1712462402,Democrat,0.12
1712466003,Democrat,0.12
1712469602,Democrat,0.12
1712473202,Democrat,0.12
1712476803,Democrat,0.12
1712480403,Democrat,0.12
1712484003,Democrat,0.12
1712487602,Democrat,0.12
1712491203,Democrat,0.12
1712494803,Democrat,0.12
1712498403,Democrat,0.12
1712502003,Democrat,0.12
1712505603,Democrat,0.12
1712509202,Democrat,0.12
1712512803,Democrat,0.12
1712516403,Democrat,0.12
1712520003,Democrat,0.12
1712523603,Democrat,0.12
1712527203,Democrat,0.12
1712530803,Democrat,0.12
1712534403,Democrat,0.12
1712538003,Democrat,0.115
1712541603,Democrat,0.115
1712545203,Democrat,0.115
1712548803,Democrat,0.115
1712552403,Democrat,0.115
1712556003,Democrat,0.115
1712559603,Democrat,0.115
1712563203,Democrat,0.115
1712566803,Democrat,0.115
1712570403,Democrat,0.115
1712574003,Democrat,0.115
1712577603,Democrat,0.115
1712581203,Democrat,0.115
1712584803,Democrat,0.115
1712588403,Democrat,0.115
1712592003,Democrat,0.115
1712595602,Democrat,0.115
1712599202,Democrat,0.115
1712602803,Democrat,0.115
1712606402,Democrat,0.115
1712610002,Democrat,0.115
1712613603,Democrat,0.115
1712617203,Democrat,0.115
1712620803,Democrat,0.115
1712624403,Democrat,0.115
1712628003,Democrat,0.115
1712631603,Democrat,0.115
1712635203,Democrat,0.115
1712638803,Democrat,0.115
1712642402,Democrat,0.115
1712646002,Democrat,0.115
1712649603,Democrat,0.115
1712653202,Democrat,0.115
1712656802,Democrat,0.115
1712660402,Democrat,0.115
1712664003,Democrat,0.115
1712667603,Democrat,0.115
1712671203,Democrat,0.115
1712674802,Democrat,0.115
1712678402,Democrat,0.115
1712682003,Democrat,0.115
1712685602,Democrat,0.115
1712689203,Democrat,0.115
1712692803,Democrat,0.115
1712696402,Democrat,0.115
1712700002,Democrat,0.115
1712703603,Democrat,0.115
1712707203,Democrat,0.115
1712710803,Democrat,0.115
1712714402,Democrat,0.115
1712718002,Democrat,0.115
1712721603,Democrat,0.115
1712725202,Democrat,0.115
1712728803,Democrat,0.115
1712732403,Democrat,0.115
1712736002,Democrat,0.115
1712739602,Democrat,0.115
1712743202,Democrat,0.115
1712746802,Democrat,0.115
1712750402,Democrat,0.115
1712754002,Democrat,0.115
1712757602,Democrat,0.115
1712761203,Democrat,0.115
1712764803,Democrat,0.115
1712768403,Democrat,0.115
1712772003,Democrat,0.115
1712775603,Democrat,0.115
1712779203,Democrat,0.115
1712782803,Democrat,0.115
1712786402,Democrat,0.115
1712790002,Democrat,0.115
1712793603,Democrat,0.115
1712797203,Democrat,0.115
1712800803,Democrat,0.115
1712804402,Democrat,0.115
1712808003,Democrat,0.115
1712811602,Democrat,0.115
1712815202,Democrat,0.115
1712818803,Democrat,0.115
1712822402,Democrat,0.115
1712826003,Democrat,0.115
1712829602,Democrat,0.115
1712833203,Democrat,0.115
1712836803,Democrat,0.115
1712840402,Democrat,0.115
1712844003,Democrat,0.115
1712847604,Democrat,0.115
1712851203,Democrat,0.115
1712854803,Democrat,0.115
1712858403,Democrat,0.115
1712862002,Democrat,0.115
1712865602,Democrat,0.115
1712869203,Democrat,0.115
1712872803,Democrat,0.115
1712876403,Democrat,0.115
1712880003,Democrat,0.115
1712883603,Democrat,0.115
1712887203,Democrat,0.115
1712890803,Democrat,0.115
