day_offset,segment,agg_yes,agg_no,odds
-232,large,0.0,0.0,0.0
-231,large,1472.0,30.0,0.9800266311584553
-229,large,1472.0,40.0,0.9735449735449735
-228,large,1473.265819,40.0,0.9735671026875946
-223,large,2393.265819,-0.0,1.0
-190,large,2643.265819,-0.0,1.0
-183,large,2597.811275,-0.0,1.0
-147,large,2593.2658220000003,-0.0,1.0
-139,large,2578.2658220000003,-0.0,1.0
-137,large,2573.2658220000003,-0.0,1.0
-132,large,1473.265819,5568.443329,0.20921991920362684
-131,large,1473.265819,6447.999994,0.18598868587166298
-130,large,1473.265819,6442.999994,0.1861061583582274
-126,large,1673.265819,6492.999994,0.20489974944684058
-125,large,1673.265819,6692.999994,0.20000151278961043
-124,large,1423.265819,6342.999994,0.1832625683011759
-122,large,1423.265819,6351.133325999999,0.18307084476301352
-120,large,1423.265819,6369.133325999999,0.18264796149633067
-119,large,1423.265819,768.9333259999994,0.649241115820251
-117,large,1423.265819,859.8424149999994,0.6233895519295825
-116,large,1473.265819,879.8424149999994,0.6260935207793763
-115,large,1473.265819,656.1824149999994,0.6918533146178374
-113,large,1806.265819,2174.1424149999993,0.45378908715220995
-112,large,1155.555819,1762.8924149999993,0.39594871190029823
-111,large,3573.8958190000003,912.8924149999993,0.796537664050583
-108,large,3807.003404000001,-0.0,1.0
-107,large,6148.343404000001,-0.0,1.0
-105,large,6035.843404000001,-0.0,1.0
-104,large,6001.468404000001,-0.0,1.0
-101,large,7974.581264000001,-0.0,1.0
-100,large,7774.581264000001,-0.0,1.0
-98,large,7153.705819000001,644.4102679999994,0.9173633399643439
-97,large,6153.705819000001,715.8388379999994,0.895795300308505
-95,large,6153.705819000001,1294.4102619999994,0.8262097088816842
-94,large,5553.705819000001,2977.0802619999995,0.65101923389796
-93,large,5553.705819000001,3000.413593999999,0.6492434289097994
-92,large,6343.705819000001,2359.6054939999995,0.7288841672852155
-91,large,6343.705819000001,2466.7483499999994,0.7200202960388387
-90,large,6343.705819000001,2873.8912059999993,0.6882168749398112
-89,large,6192.555819,3445.3197739999996,0.6425229044767563
-88,large,6192.555819,3478.6531059999993,0.640308348937876
-87,large,6218.095819,3277.583105999999,0.6548342533601409
-86,large,6218.095819,3410.583105999999,0.6457890918820932
-85,large,6218.095819,5089.849769999999,0.549887313310807
-82,large,6223.095819,5039.849769999999,0.5525282680116835
-81,large,6223.095819,4935.089769999999,0.5577157477228981
-80,large,6223.095819,5075.0897669999995,0.5508048855836878
-79,large,3420.2358190000004,10512.456431999999,0.24548276509549097
-78,large,3420.2358190000004,11153.632899999999,0.2346827657738558
-77,large,3420.2358190000004,11847.750546,0.22401354947764918
-76,large,3420.2358190000004,12577.162309,0.21379950612178703
-75,large,2420.2358190000004,19199.297863,0.11194671701060052
-74,large,2420.2358190000004,19254.853417,0.1116597856944574
-73,large,2220.2358190000004,19652.852827,0.10150536373407977
-72,large,3953.2358190000004,16743.142826999996,0.19101099214591558
-71,large,3953.3534650000006,16743.142826999996,0.19101559071755184
-65,large,3953.3534650000006,16443.142826999996,0.19382512606101873
-64,large,3953.3534650000006,16681.892826999996,0.19158256747013783
-63,large,5953.353465,21027.892826999996,0.22064783074031624
-62,large,5953.353465,21592.598701,0.21612443923242672
-61,large,5953.353465,24047.161201,0.19844171112661005
-60,large,5956.882871000001,24676.572957999997,0.19445676988754088
-59,large,8662.010771000001,23696.761082999998,0.2676866356387767
-58,large,8662.010771000001,25538.119903,0.25327420101307185
-57,large,8662.010771000001,26314.590482999996,0.2476515859301623
-56,large,9162.010771000001,27256.935185,0.2515726507315505
-55,large,9162.010771000001,28581.699888,0.24274271424384491
-54,large,9162.010771000001,30056.699888,0.23361325798448912
-53,large,9162.010771000001,29456.789888,0.23724223991054524
-52,large,9162.010771000001,29956.789888,0.23420990972769284
-51,large,9126.010771000001,29992.789888,0.23328963611517048
-50,large,9126.010771000001,38509.554592,0.19157977241282945
-49,large,9126.010771000001,42690.554592,0.1761214914008271
-48,large,9761.890771,42120.794592,0.18815315172490413
-47,large,9761.890771,43311.270781,0.18393271637747638
-46,large,9761.890771,43791.270781,0.1822841170921576
-45,large,9821.890771,47728.271383,0.1706666046347071
-44,large,10898.213048000001,53116.635764,0.17024507985648887
-43,large,11782.593048,62539.877497999994,0.15853338783601745
-42,large,10432.593048,62742.25749799999,0.1425707462353032
-41,large,9113.143048,73581.65749799999,0.11020212864448115
-40,large,8675.503048,73081.65749799999,0.10611306691746958
-39,large,8675.503048,73131.65749799999,0.10604821130690369
-38,large,8675.503048,73652.490828,0.10537731626336952
-37,large,8676.503048,76658.95082799999,0.1016752434528295
-36,large,10260.163048,77818.408262,0.11648875424975375
-35,large,10130.163048,78652.100077,0.1141012032294936
-34,large,10283.020189,80394.43405299999,0.1134021711897279
-33,large,10552.590189,83524.02841099999,0.11217016880536565
-32,large,20736.730189,89253.213758,0.18853296442256803
-31,large,19743.360189,98333.476579,0.16720773294250924
-30,large,20774.940189,96551.54814,0.17706947923596028
-29,large,20774.940189,100022.61064,0.17198146855153407
-28,large,20814.330189,101638.97064,0.16997769801294443
-27,large,20814.330189,101854.09966899999,0.16967960063640258
-26,large,21214.330189,103918.61579699999,0.16953433024244058
-25,large,21214.330189,104866.04321199999,0.1682603692925908
-24,large,21083.629482,90931.841598,0.18822069200550293
-23,large,21233.629482,86922.790629,0.1963233385517763
-22,large,23150.671733,90078.73729399999,0.20445811677317535
-21,large,16858.671733,93737.28544099999,0.15243479204647914
-20,large,17828.671733,88800.55544099999,0.16720248477377378
